TEXT,LABEL
이거 할만하다,1
오,1
슈마무스메 ,1
어,1
오,1
오,1
오,1
어어,1
오오,1
번,1
어,1
오 등,1
오,1
오,1
번마 떡상,1
어,1
오,1
헐,1
선두,1
어어,1
오,1
어,1
슈마무스메 고우,1
오,1
번아는웃고잇다,1
헐,1
오오 번마,1
등,1
어,1
가즈아아아아,1
오오오오오오옹,1
어어어,1
어 ,1
오오오오,1
번마 선두,1
번마 우마뾰이 각,1
오,1
어,1
오,1
어,1
오,1
번마,1
대박 ,1
번마,1
번마 질주,1
번마 가즈아,1
번마 떡상,1
어,1
오,1
형이 등,1
등 오예,1
끝나지마,1
이게무슨일이,1
와,1
된다된다,1
슈마무스메 ,1
치타는 웃고 있다,1
어,1
오,1
오,1
오오,1
가즈아,1
오,1
가즈아,1
어어어,1
그 발언,1
오침채,1
단독찬스,1
뭐야,1
오 긴장되는 순간 치고 갑니다,1
번 터진듯,1
어라,1
오케에,1
어,1
나이솨,1
어어,1
오오,1
번마 개떡상,1
어어,1
침착하다,1
오오,1
번마 떡상각,1
오,1
달료,1
가라라,1
대박,1
번마 번마,1
번마,1
정말,1
번마 가나요,1
아안돠,1
번처럼해주세여,1
번마 우승,1
어어,1
같이 가,1
헐,1
번마인가,1
오,1
침착스,1
번 가즈아,1
헐,1
주거,1
이걸,1
번마 우승하나요,1
형 제발베라,1
번마,1
안돼,1
그거야 형,1
휴,1
번마 선두 유지합니다,1
오 드가자,1
제발 주거,1
왜,1
안되,1
제발,1
어오,1
아,1
번마 떡상중,1
번마 달립니다,1
번마 가나요,1
오,1
아니야,1
형 그거 아니야,1
안되 풍형,1
와,1
설마,1
헉,1
제발,1
안침착하죠 성격 급하죠,1
번마 우승,1
번마들 웃는중,1
어,1
어라,1
그거 아니야,1
오오,1
말도안돼 이러지마,1
침착 침재,1
제발 숙제,1
해지마,1
느긋,1
주거,1
이게 임,1
오오,1
설레도 되냐,1
오,1
번마는 웃고있다,1
번마,1
번마랑 왜케 다르냐,1
헉,1
제발,1
오 번마다,1
저녀석들 뭐하냐고,1
번 성공이다,1
오,1
조아 침착해,1
와,1
가즈아,1
번마가 이걸,1
번마 제발 ,1
오오,1
오 오늘 되는 날인가,1
번마 웃나요,1
휴,1
어라,1
번마 번마,1
어어,1
랑은 다르다 랑은,1
답은 번이다,1
안돼,1
어,1
해지마 해지마,1
거북아 힘내,1
머하냐 애들아,1
안일 스택,1
오오오,1
제발 컷,1
번마 떡상중,1
이러면 안되는데,1
형 믿고 있을게,1
침착스,1
에이 설마,1
와 번마 달린다,1
뭐해,1
아 번마 할걸,1
번마는 웃고있다,1
응번마도 이랬어,1
어,1
아,1
번마 우승,1
그렇치,1
아,1
헉,1
병건해,1
와,1
오,1
와,1
아,1
와,1
예,1
번마,1
아,1
캬 ,1
오,1
번 당첨,1
오예 ,1
오,1
예,1
나이스,1
번마,1
아,1
아,1
앙대,1
번마 ,1
번마 우승,1
번마,1
아,1
와,1
아,1
번마,1
이야,1
안되,1
안돼,1
안돼,1
와,1
번이다,1
캬,1
안돼,1
오,1
오,1
번마 우승,1
아,1
나이스,1
외 아깝다,1
번마 쏴리질러,1
불안한데 물맵이디,0
설마,0
이거 좀 애들 상태가,0
실력맵 ,0
아 망했네,0
번 컷,0
가아,0
번마 우승,0
번마아아아아아,0
순물,0
아뿔싸,0
번마 컷,0
실력 ,0
그 발언,0
아,0
휴,0
아,0
아 졌네 ,0
번마 포기 합니다,0
번마는 지금 웃고있다,0
망,0
가즈아,0
번마 멸망,0
안심,0
물맵이다,0
아 ,0
아,0
번마,0
게다가 력실맵,0
호재요,0
번마 탈락,0
번마 아,0
번 낙마 컷,0
물맵,0
달려,0
아 망했네,0
그발언 불안,0
번마 캇,0
아 번마 멸망,0
물맵 ,0
풍월량풍월량풍월량,0
호재,0
다행히 실력맵,0
앗,0
망했다 ,0
번마 각이다,0
이건 모른다,0
실력맵 ,0
응 컷,0
이건 못 이긴다,0
실력이먄 좀 빡세 ,0
번마,0
월량,0
번마번마,0
안심,0
가즈아,0
아 망했네,0
번마 캍,0
번마 탈락 ,0
번마 탈락 ,0
번마 달립니다,0
번마 캇,0
호재요,0
번마 출발합니다,0
번 컷 ,0
실력맵 번마 컷,0
번마 컷,0
아 물맵 악재다,0
아 실력맵,0
실력맵 번마 탈락,0
실력맵은 바로 컷,0
번 캇,0
물맵 다행,0
어,0
번마 탈락,0
번마 탈락,0
아 력실맵 ,0
컷이네,0
번 다음 기회에,0
