TEXT,LABEL
¹â¾î,1
ÀÌ°Ô ¸»ÀÌµÅ,1
ÀÌ°Å Àú¹ø¿¡ ÇßÁö¾ÊÀ½,0
´ëÈ¥µ·ÀÇ Ç³ÅäÅä´Ù,1
Ç³¿ù·® ¹Ï°í ¸¶¸®¿À °ñ¶ú´Ù±¸,1
¸¶¸®¿À È­ÀÌÆÃ,0
¸ð¾ß ±âÃâÀÌ¾ß,0
·ç,0
Å»¶ô,0
º´°ÇÇÏ°Ô,1
¾î,0
²Ãµî,0
¸® µë,0
Áö±Ý ¹ø¸¶´Â ¿îµµ ¾ø¾î,0
¹ø¸¶ Æø¸Á,0
ÇÎ Á¡ÇÁ°¡ ¿¹¼úÀÎµ¥,0
ÀÀ ³¡,0
¿À´Ã ¹¹¾ß,1
¾Ñ ,0
¿Í,1
¹ø¸¶ ÄÆ,0
ÀÌ°É ¹ø±îÁö ¿À³× ,1
ÁøÀÛ°«¾ù¾î¿©,0
ÂøÇØ,0
 °¡½Ã°Ú³×,1
¾È¿Â´Ù ,1
ÀÌ°É ÀÌ°Ü ,0
°í»ýÇÔ,0
ÃÖ´ÜÄÆ ,0
Ä§Âø½º,1
¸ð¾ß ÀÌ°Ô,1
¿À ¹æÇâÀ» ¸ø ¸ÂÃç ,0
³¯°­µµ ,1
¹ø¸¶ ¿ì½Â,1
¹ø¸¶ °¡ÀÚ,0
¸¶¸®¿ÀÈ­ÀÌÆÃ,0
½Ã°£ Âª°Ô,1
Áï½Ã¾÷º¸,0
ÀÌ°ÅÁö,1
¼öºñ °³¿ô±â³×,1
¾Æ½±,0
±×³É ±ê¹ßÀÌ Àú À§·Îµµ ÀÖ´Â °Ç°¡,1
 “m,1
´ç½Å ´©±¸¾ß,1
°³»¡¶ó ,0
¿À,1
´ý¾Ø´õ‘E,0
¹ø¾Æ Á¤½ÅÀÌ µé¾î,0
´À±ß,0
·çÀÌÁö ¸Á ,0
ÅÂÃÊÄÆ ,0
ÀÌ·± ,0
Æ²¸°±×¸²Ã£±â¿¡¿©,0
¾î¾î¾î¾î,0
ÀÌ°Ç Á»,0
ÇÎÅ° ¸øµé¾î¿ÔÁê,0
ÇÎÅ°¾îµð°¬¾î,1
°³¿ô°Ü ,0
Ä¼,1
°¡ÀÚ,1
±âÃâ¹®Á¦ ½ÇÆÐ,0
½È¾ú´ø¸Ê,0
¸Ó¾ß,0
¾î¸²µµ¾øÁö,0
¹ø¸¶ ¾î±è¾÷ÀÌÅ»¶ô,0
ºí·ÎÅ· ,1
·¹Àüµå,1
ÄÆ ,0
¹ø¸¶µé Ç÷¾Ð ¿À¸£´ÂÁß,0
Èû³»,1
¾÷º¸,0
¾Æ ¾î·Á¿îµ¥,1
¹ø¸¶ ¸¸¼¼,1
¹ø¸¶ÀÔÀå,0
Çü °í¸¸ÇØ,0
°£º¸°í ÀÖÀ½,1
¿Í ÅðÈ­Çß¾î,0
Å·ºÎ··,0
¿Ô´Ù ,1
ÀÌ°Ç ÀÎÁ¤,1
³¡³ªºÎ·È±¸¿ä,0
ÇØÁö¸¶ ÇØÁö¸¶,1
´ë¹Ú,1
¹ø¸¶ µé¾î°¡½Ã°í,0
¹Ë¯Q,1
ÆÄ¶ûÈ¥ÀÚ º¸½ºÀâ°í °¡³× ,0
¸Á ,0
¾Æ Á³³× ,0
ÀÎÁ¤ÀÌ´Ù,1
¹ø¸¶ °¡ÀÚ,0
¹ø ÄÆ,0
¾Ñ,0
¸¶ ,0
ÀÚ°­µÎÃµ,0
ÀÚµ¿¹®,1
³ª ¿À´Ã ´Ù¸ÂÃã,1
¹ø¸¶ ¶Ç °¡³ª,0
¿ÍÀÚºÌ,1
¾Æ½Î,1
¿Í,1
¹ø¸¶ °¡ÀÚ,0
ÃÂ,1
±×³Éµµ ¸øÇÔ,0
¹Ùº¸,0
±×³É ¸øÇÑ´Ù°í ÇØ,0
¾î,1
¿À´Ã ¹«½¼ÀÏÀÌ¾ß,1
ÀÀ¾Ö¾ß,0
¿Â´Ù,1
¿¬½ÂÇß´Âµ¥ ¹ø¸¸ °Ç Èæ¿ì ¾øÁö,0
¾î¾î,1
¸·ÀÚ,1
ÀÌÁ¦ º»½Ç·ÂÀÌ´Ù,0
¾ù,1
ÀÌ°É,1
¸¶¸®¿À ÀÌ¹Ì °¨ ,0
¿Â´Ù ¿Â´Ù,1
°¡Áî¾Æ,0
¹ø ÄÆ ,0
¾Æ±î °Å±â ºÎ½¥³× ,0
È£¿Í¿ì,1
¹ø¸¶ Ä±,0
¾î,0
¾ÐµµÀû ²ÃÂî,0
´À±ß,0
°³¸ðÅÂ ,0
¹æÇß¾î,0
ÁÖ°Å,1
¹ø¸¶ ,1
¹ø¸¶ Å»¶ô,0
¹ø¸¶ ÄÆ,0
´ë,0
Áö°ÅÁøÈ¿°ú,1
²¢³×,0
¿À,1
³×³×,0
ÄÁµð¼Ç ¾È ÁÁ´Ù¸é¼­ŸD,1
ÅðÈ­,0
¼³¸¶,1
Á» ±â´Ù·Á,1
Ãß,0
È£¿ì,1
´Þ´ÞÇÏ°í,1
¹ø ³«¸¶ ¹ø ³«¸¶ ¹ø ³«¸¶ ¹ø ³«¸¶ ¹ø ³«¸¶ ¹ø ³«¸¶ ¹ø ³«¸¶ ¹ø ³«¸¶ ¹ø ³«¸¶,0
¿¡ÇìÀÌ ÁÒÁ³³× ÀÌ°Å,0
ÇÃ·§Æû ¹ö¼¸ »ö ´Ù¸§,1
±×³É À§¿¡ ÀÖ´Â°Å ¾Æ´Ô,1
 Ç³ÇüÃÖ°í,1
±âÃâ¸ÊÀÌ¶ó´Ï,0
¾Æ ,0
Àç¹Ì¾ø°Ô ½Ç·Â¸ÊÀÌ³× ,0
¹ø¸¶ ÄÆ,0
µµÅ· ,0
¹ø ÄÆ ,0
¸ðÀÚ¸ÇÀÇ Æ®·¹ÀÌ´×ÀÌ ÀÌ·¸°Ô,1
°¥±â¶ó°í,0
ÈÑÀÌÅ©¿´´ø°ÅÀÓ,0
°³¸ðÅÂ,0
¾ÈÁÁ´Ù°í ÇÏÁö¾Ê¾Ò³ª,1
¹ø¸¶ °©ÀÚ±â °È½À´Ï´Ù,0
´Þ´Ù,1
Á¾,0
¹ø¸¶ ¾î¼­¿À°í,0
¿Ö ¾È ¸Å¿ö,1
¸ÕÀÏÀÌ¿©,1
¾î¾î,1
 ¤©¤·¤»¤» ,0
¿À ,1
°³°°ÀÌ ¸ê¸Á,0
°³¹ßÀÚÀÇ ÀÇµµ¸¦ ÀüºÎ °æÇèÇÏ´Â »ç¶÷,0
±×°Ô Å« Â÷ÀÌ,0
¾Æ,1
±ú´Â°Ô ¸Â³× ,0
¹ø¸¶ °ñÀý,0
Ãß¿ù·® ,1
°³¸ðÅÂ,0
¾Æ¹«Æ° Àú°ÝÀÓ ,0
¿À,1
¾È´ëÁö,0
Çæ,1
¹ø¸» Çàº¹,0
¸ÓÇØ¿©¾î¾î,0
¹ø¸¶,0
°³¸ðÅÂ,0
¶Ç ¸¶¸®¿À³× ,1
³¯¸ÔÁÁ¾Æ,1
ÀÚ¿¬½º·´°Ô Çù·ÂÇÏ´Â°ÅºÁ ,1
¹ø¸¶ ÄÆ,0
±×°Ô½Ç·ÂÂ÷,0
³Ñ ´Þ´ÞÇÏ°ø,1
