TEXT,LABEL
밟어,1
이게 말이돼,1
이거 저번에 했지않음,0
대혼돈의 풍토토다,1
풍월량 믿고 마리오 골랐다구,1
마리오 화이팅,0
모야 기출이야,0
루,0
탈락,0
병건하게,1
어,0
꼴등,0
리 듬,0
지금 번마는 운도 없어,0
번마 폭망,0
핑 점프가 예술인데,0
응 끝,0
오늘 뭐야,1
앗 ,0
와,1
번마 컷,0
이걸 번까지 오네 ,1
진작갓엇어여,0
착해,0
 가시겠네,1
안온다 ,1
이걸 이겨 ,0
고생함,0
최단컷 ,0
침착스,1
모야 이게,1
오 방향을 못 맞춰 ,0
날강도 ,1
번마 우승,1
번마 가자,0
마리오화이팅,0
시간 짧게,1
즉시업보,0
이거지,1
수비 개웃기네,1
아쉽,0
그냥 깃발이 저 위로도 있는 건가,1
 뱈,1
당신 누구야,1
개빨라 ,0
오,1
덤앤더멐,0
번아 정신이 들어,0
느긋,0
루이지 망 ,0
태초컷 ,0
이런 ,0
틀린그림찾기에여,0
어어어어,0
이건 좀,0
핑키 못들어왔쥬,0
핑키어디갔어,1
개웃겨 ,0
캬,1
가자,1
기출문제 실패,0
싫었던맵,0
머야,0
어림도없지,0
번마 어김업이탈락,0
블로킹 ,1
레전드,1
컷 ,0
번마들 혈압 오르는중,0
힘내,1
업보,0
아 어려운데,1
번마 만세,1
번마입장,0
형 고만해,0
간보고 있음,1
와 퇴화했어,0
킹부렁,0
왔다 ,1
이건 인정,1
끝나부렸구요,0
해지마 해지마,1
대박,1
번마 들어가시고,0
믓칀,1
파랑혼자 보스잡고 가네 ,0
망 ,0
아 졌네 ,0
인정이다,1
번마 가자,0
번 컷,0
앗,0
마 ,0
자강두천,0
자동문,1
나 오늘 다맞춤,1
번마 또 가나,0
와자뵤,1
아싸,1
와,1
번마 가자,0
쳇,1
그냥도 못함,0
바보,0
그냥 못한다고 해,0
어,1
오늘 무슨일이야,1
응애야,0
온다,1
연승했는데 번만 건 흑우 없지,0
어어,1
막자,1
이제 본실력이다,0
엇,1
이걸,1
마리오 이미 감 ,0
온다 온다,1
가즈아,0
번 컷 ,0
아까 거기 부쉈네 ,0
호와우,1
번마 캇,0
어,0
압도적 꼴찌,0
느긋,0
개모태 ,0
방했어,0
주거,1
번마 ,1
번마 탈락,0
번마 컷,0
대,0
지거진효과,1
깻네,0
오,1
네네,0
컨디션 안 좋다면서욬,1
퇴화,0
설마,1
좀 기다려,1
추,0
호우,1
달달하고,1
번 낙마 번 낙마 번 낙마 번 낙마 번 낙마 번 낙마 번 낙마 번 낙마 번 낙마,0
에헤이 죠졌네 이거,0
플랫폼 버섯 색 다름,1
그냥 위에 있는거 아님,1
 풍형최고,1
기출맵이라니,0
아 ,0
재미없게 실력맵이네 ,0
번마 컷,0
도킹 ,0
번 컷 ,0
모자맨의 트레이닝이 이렇게,1
갈기라고,0
훼이크였던거임,0
개모태,0
안좋다고 하지않았나,1
번마 갑자기 걷습니다,0
달다,1
종,0
번마 어서오고,0
왜 안 매워,1
먼일이여,1
어어,1
 ㄹㅇㅋㅋ ,0
오 ,1
개같이 멸망,0
개발자의 의도를 전부 경험하는 사람,0
그게 큰 차이,0
아,1
깨는게 맞네 ,0
번마 골절,0
추월량 ,1
개모태,0
아무튼 저격임 ,0
오,1
안대지,0
헐,1
번말 행복,0
머해여어어,0
번마,0
개모태,0
또 마리오네 ,1
날먹좋아,1
자연스럽게 협력하는거봐 ,1
번마 컷,0
그게실력차,0
넘 달달하공,1
응 조짐 ,0
대박,1
꼬롬한건 진짜 잘해 ,1
네,1
오늘 왤케 얘들이 못하지,1
저번주 데바데였다,1
네,0
어어,1
네놈,0
번마 준비,0
아 날먹 맵좀 그만 나와라,1
아 내 번마,1
와  이걸,1
루 ,0
컷,0
이게 마리오라니 ,1
마리오 ,0
아,0
하 배 ,1
소외감 ,0
마리오가 등,0
제발 숙제,1
답답 ,0
볼필요 없다는게 이런 뜻이였습니까,0
응 못가,0
번마 트랙에 들어옵니다,0
번마 붐은 온다,0
네,0
이게 이기넼,1
그냥우리도기권하죠,0
오,1
빨리 점때로 가자고,0
오늘 컨디션 좋으시네 ,1
번 대기해,0
번 가자,0
아까부터 ,0
다들 어디감,0
번마 탈락,0
슈마무스메 ,1
탈락,0
가식컷,0
조댓따,0
이게머야,0
한강가면 그만이야,0
요,1
초기화가 심하긴해,0
번마는 웃고있다,0
피지컬 이슈,0
짜릿,1
번 가자,0
번마 사망,0
개모테,0
양파 뭐해 ,0
번마,1
강했던과거의 나,0
싫어요,0
캬,1
과연,0
개모댘,0
압도적 꼴찌,0
번마 개망,0
극찬 ,1
근데 튜브고,0
모함다 ,0
번마 가즈아,1
마마 루루,0
제발,0
와 번마,1
헐,1
번마는 웃고있다,1
번마 스탠바이,0
줴줴,0
이제 포기해야할때,0
아,1
번마,1
와,1
번마,0
역시 핑키신,0
다 즐기시는중,0
느릿느릿 ,0
번 컷,0
조작이다,0
닉봨,0
미쵸따,1
오,1
자자 번마 다리가 부러졌어요,0
비겁한 변명입니다,0
분홍이 자동문이었는데,1
어휴 파랑 저 뱡싱,0
마리오 넌 영웅이야,0
핑키,0
